RGI_ID,zmed,zmax,zmin,area,slope,lat,lon,icecap,ID
RGI60-16.00001,4966.0,5041.0,4896.0,0.098,21.4,-16.5212,-69.9053,0,RGI60-16.00001
RGI60-16.00002,5005.0,5056.0,4963.0,0.147,20.7,-16.5196,-69.9117,0,RGI60-16.00002
RGI60-16.00003,4963.0,5043.0,4892.0,0.149,25.4,-16.5156,-69.9246,0,RGI60-16.00003
RGI60-16.00004,4491.0,4521.0,4443.0,0.051,15.4,-16.3855,-69.1445,0,RGI60-16.00004
RGI60-16.00005,4453.0,4522.0,4397.0,0.037,20.7,-16.384,-69.1411,0,RGI60-16.00005
RGI60-16.00006,4895.0,5153.0,4637.0,0.927,14.4,-16.4572,-69.895,0,RGI60-16.00006
RGI60-16.00007,4922.0,5152.0,4779.0,0.899,21.4,-16.4687,-69.8873,0,RGI60-16.00007
RGI60-16.00008,4985.0,5068.0,4942.0,0.091,18.0,-16.4684,-69.8764,0,RGI60-16.00008
RGI60-16.00009,4908.0,5058.0,4758.0,0.366,23.4,-16.4774,-69.8778,0,RGI60-16.00009
RGI60-16.00010,5035.0,5188.0,4848.0,0.504,20.4,-16.4167,-70.5634,0,RGI60-16.00010
RGI60-16.00011,5037.0,5130.0,4881.0,0.221,20.3,-16.4186,-70.5701,0,RGI60-16.00011
RGI60-16.00012,4468.0,4494.0,4425.0,0.048,14.8,-16.3693,-69.1673,0,RGI60-16.00012
RGI60-16.00013,5072.0,5082.0,5051.0,0.012,18.7,-16.3702,-70.5541,0,RGI60-16.00013
RGI60-16.00014,5014.0,5129.0,4913.0,0.114,27.8,-16.369,-70.5575,0,RGI60-16.00014
RGI60-16.00015,5158.0,5194.0,5118.0,0.04,19.4,-16.3656,-70.5518,0,RGI60-16.00015
RGI60-16.00016,4982.0,4998.0,4972.0,0.012,16.3,-16.3736,-70.551,0,RGI60-16.00016
RGI60-16.00017,5055.0,5101.0,5019.0,0.016,21.8,-16.3719,-70.5497,0,RGI60-16.00017
RGI60-16.00018,5066.0,5191.0,4889.0,0.493,20.0,-16.3739,-70.5473,0,RGI60-16.00018
RGI60-16.00019,4515.0,4568.0,4475.0,0.107,18.1,-16.3266,-69.1637,0,RGI60-16.00019
RGI60-16.00020,5293.0,5554.0,5057.0,0.468,27.2,-17.9296,-68.9068,0,RGI60-16.00020
RGI60-16.00021,5276.0,5478.0,5105.0,0.164,25.9,-17.9282,-68.9144,0,RGI60-16.00021
RGI60-16.00022,5138.0,5535.0,4970.0,1.269,28.1,-17.9345,-68.9143,0,RGI60-16.00022
RGI60-16.00023,5058.0,5119.0,4988.0,0.057,23.3,-16.3014,-70.3624,0,RGI60-16.00023
RGI60-16.00024,5130.0,5264.0,4980.0,0.228,25.5,-16.2926,-70.3654,0,RGI60-16.00024
RGI60-16.00025,5287.0,5325.0,5177.0,0.049,22.6,-16.2879,-70.3612,0,RGI60-16.00025
RGI60-16.00026,5079.0,5191.0,4972.0,0.112,23.8,-16.2952,-70.3732,0,RGI60-16.00026
RGI60-16.00027,5116.0,5205.0,4978.0,0.163,21.7,-16.2916,-70.3693,0,RGI60-16.00027
RGI60-16.00028,5125.0,5297.0,4959.0,0.61,24.9,-16.3016,-70.3432,0,RGI60-16.00028
RGI60-16.00029,5030.0,5117.0,4985.0,0.08,31.8,-16.2905,-70.3267,0,RGI60-16.00029
RGI60-16.00030,5194.0,5227.0,5163.0,0.021,19.8,-16.2889,-70.3493,0,RGI60-16.00030
RGI60-16.00031,5094.0,5309.0,5000.0,0.414,23.5,-16.2886,-70.3388,0,RGI60-16.00031
RGI60-16.00032,5235.0,5288.0,5172.0,0.138,11.2,-16.2885,-70.3571,0,RGI60-16.00032
RGI60-16.00033,5171.0,5313.0,4973.0,1.253,19.4,-16.2941,-70.3541,0,RGI60-16.00033
RGI60-16.00034,5117.0,5181.0,5063.0,0.168,13.4,-16.2385,-70.3321,0,RGI60-16.00034
RGI60-16.00035,5139.0,5274.0,5014.0,0.4,23.0,-16.2378,-70.37,0,RGI60-16.00035
RGI60-16.00036,5103.0,5167.0,5035.0,0.098,19.6,-16.2498,-70.3793,0,RGI60-16.00036
RGI60-16.00037,5138.0,5336.0,4988.0,0.829,19.4,-16.2533,-70.3326,0,RGI60-16.00037
RGI60-16.00038,5215.0,5278.0,5140.0,0.119,16.5,-16.2476,-70.3358,0,RGI60-16.00038
RGI60-16.00039,5127.0,5189.0,5023.0,0.088,13.6,-16.264,-70.3446,0,RGI60-16.00039
RGI60-16.00040,5166.0,5267.0,5032.0,0.502,14.5,-16.2567,-70.3406,0,RGI60-16.00040
RGI60-16.00041,5113.0,5197.0,5024.0,0.067,29.6,-16.2611,-70.3553,0,RGI60-16.00041
RGI60-16.00042,5131.0,5267.0,4989.0,0.471,19.5,-16.2577,-70.3487,0,RGI60-16.00042
RGI60-16.00043,5132.0,5310.0,4981.0,0.74,15.2,-16.2483,-70.3482,0,RGI60-16.00043
RGI60-16.00044,5132.0,5290.0,4943.0,1.108,18.1,-16.2476,-70.3666,0,RGI60-16.00044
RGI60-16.00045,5061.0,5170.0,4960.0,0.417,18.9,-16.2247,-70.3217,0,RGI60-16.00045
RGI60-16.00046,5054.0,5082.0,5014.0,0.053,17.8,-16.2333,-70.3072,0,RGI60-16.00046
RGI60-16.00047,5076.0,5157.0,4992.0,0.168,16.3,-16.2285,-70.312,0,RGI60-16.00047
RGI60-16.00048,5117.0,5207.0,5010.0,0.113,31.0,-16.2156,-70.3613,0,RGI60-16.00048
RGI60-16.00049,5077.0,5143.0,5014.0,0.232,15.4,-16.2154,-70.3277,0,RGI60-16.00049
RGI60-16.00050,5149.0,5236.0,5093.0,0.122,23.6,-16.2091,-70.361,0,RGI60-16.00050
RGI60-16.00051,5163.0,5258.0,5098.0,0.167,16.2,-16.2108,-70.3566,0,RGI60-16.00051
RGI60-16.00052,5111.0,5324.0,4976.0,1.645,20.8,-16.2059,-70.3363,0,RGI60-16.00052
RGI60-16.00053,5179.0,5195.0,5154.0,0.014,11.3,-16.2044,-70.3528,0,RGI60-16.00053
RGI60-16.00054,5230.0,5319.0,5098.0,0.329,15.6,-16.2,-70.3472,0,RGI60-16.00054
RGI60-16.00055,5077.0,5091.0,5055.0,0.012,13.3,-16.1958,-70.3257,0,RGI60-16.00055
RGI60-16.00056,5150.0,5199.0,5097.0,0.099,19.0,-16.1965,-70.3283,0,RGI60-16.00056
RGI60-16.00057,4990.0,5026.0,4937.0,0.016,33.9,-16.158,-70.2841,0,RGI60-16.00057
RGI60-16.00058,4981.0,5007.0,4923.0,0.03,25.9,-16.1374,-70.2695,0,RGI60-16.00058
RGI60-16.00059,4961.0,5046.0,4852.0,0.1,30.0,-16.1316,-70.2629,0,RGI60-16.00059
RGI60-16.00060,4935.0,5060.0,4854.0,0.122,29.1,-16.12,-70.2534,0,RGI60-16.00060
RGI60-16.00061,5067.0,5107.0,5041.0,0.013,23.7,-16.1145,-70.2523,0,RGI60-16.00061
RGI60-16.00062,5059.0,5149.0,4976.0,0.069,28.3,-16.1108,-70.2574,0,RGI60-16.00062
RGI60-16.00063,4910.0,4979.0,4869.0,0.044,23.7,-16.1097,-70.2408,0,RGI60-16.00063
RGI60-16.00064,5032.0,5155.0,4883.0,0.484,25.0,-16.1042,-70.2486,0,RGI60-16.00064
RGI60-16.00065,5004.0,5076.0,4923.0,0.063,31.3,-16.1026,-70.2599,0,RGI60-16.00065
RGI60-16.00066,5011.0,5042.0,4957.0,0.073,15.2,-16.0833,-70.2697,0,RGI60-16.00066
RGI60-16.00067,5032.0,5077.0,4964.0,0.088,17.3,-16.0933,-70.2694,0,RGI60-16.00067
RGI60-16.00068,4944.0,5130.0,4804.0,0.364,29.4,-16.0997,-70.2693,0,RGI60-16.00068
RGI60-16.00069,5069.0,5088.0,5038.0,0.021,20.3,-16.0889,-70.3075,0,RGI60-16.00069
RGI60-16.00070,5002.0,5066.0,4914.0,0.039,29.7,-16.0878,-70.3046,0,RGI60-16.00070
RGI60-16.00071,4957.0,5166.0,4798.0,1.568,20.7,-16.0855,-70.2845,0,RGI60-16.00071
RGI60-16.00072,4943.0,4989.0,4887.0,0.029,19.4,-16.0718,-70.2467,0,RGI60-16.00072
RGI60-16.00073,4971.0,4996.0,4937.0,0.018,13.2,-16.0707,-70.2847,0,RGI60-16.00073
RGI60-16.00074,4966.0,5000.0,4930.0,0.081,18.0,-16.0741,-70.2837,0,RGI60-16.00074
RGI60-16.00075,5073.0,5099.0,5041.0,0.029,10.3,-15.6086,-70.8007,0,RGI60-16.00075
RGI60-16.00076,5057.0,5071.0,5052.0,0.01,9.9,-15.5857,-70.7673,0,RGI60-16.00076
RGI60-16.00077,5026.0,5067.0,4985.0,0.019,21.0,-15.5857,-70.7594,0,RGI60-16.00077
RGI60-16.00078,5068.0,5177.0,4968.0,0.2,20.8,-15.5878,-70.7634,0,RGI60-16.00078
RGI60-16.00079,5062.0,5086.0,5042.0,0.038,10.1,-15.6046,-70.8029,0,RGI60-16.00079
RGI60-16.00080,5130.0,5301.0,5015.0,2.35,11.0,-15.5968,-70.8085,0,RGI60-16.00080
RGI60-16.00081,5106.0,5118.0,5094.0,0.011,9.4,-15.5861,-70.7949,0,RGI60-16.00081
RGI60-16.00082,5132.0,5146.0,5119.0,0.023,6.0,-15.5858,-70.7978,0,RGI60-16.00082
RGI60-16.00083,5101.0,5156.0,5030.0,0.133,18.2,-15.6049,-70.8222,0,RGI60-16.00083
RGI60-16.00084,5197.0,5269.0,5083.0,0.209,15.6,-15.5836,-70.8242,0,RGI60-16.00084
RGI60-16.00085,5095.0,5119.0,5031.0,0.024,22.9,-15.5873,-70.8313,0,RGI60-16.00085
RGI60-16.00086,5141.0,5289.0,4996.0,1.123,21.3,-15.5871,-70.8269,0,RGI60-16.00086
RGI60-16.00087,5137.0,5145.0,5121.0,0.028,6.3,-15.5768,-70.8253,0,RGI60-16.00087
RGI60-16.00088,5100.0,5158.0,5035.0,0.037,29.9,-15.5721,-70.8311,0,RGI60-16.00088
RGI60-16.00089,5120.0,5124.0,5111.0,0.019,4.1,-15.5747,-70.826,0,RGI60-16.00089
RGI60-16.00090,5197.0,5273.0,4967.0,1.197,14.8,-15.5707,-70.8185,0,RGI60-16.00090
RGI60-16.00091,5158.0,5207.0,5094.0,0.111,12.4,-15.5483,-70.8232,0,RGI60-16.00091
RGI60-16.00092,5095.0,5128.0,5076.0,0.045,12.1,-15.5705,-70.8275,0,RGI60-16.00092
RGI60-16.00093,5094.0,5148.0,5015.0,0.034,31.9,-15.5592,-70.8302,0,RGI60-16.00093
RGI60-16.00094,5193.0,5278.0,5019.0,0.494,23.5,-15.5624,-70.8256,0,RGI60-16.00094
RGI60-16.00095,5194.0,5249.0,5150.0,0.209,9.6,-15.5525,-70.8236,0,RGI60-16.00095
RGI60-16.00096,5015.0,5057.0,4975.0,0.081,22.4,-15.4556,-70.85,0,RGI60-16.00096
RGI60-16.00097,5115.0,5143.0,5078.0,0.023,20.5,-15.4388,-70.8265,0,RGI60-16.00097
RGI60-16.00098,5069.0,5118.0,5035.0,0.029,24.4,-15.4507,-70.8491,0,RGI60-16.00098
RGI60-16.00099,5099.0,5173.0,5020.0,0.15,16.6,-15.4471,-70.8528,0,RGI60-16.00099
RGI60-16.00100,5111.0,5176.0,5010.0,0.14,25.5,-15.4441,-70.8465,0,RGI60-16.00100
RGI60-16.00101,5143.0,5227.0,5019.0,0.736,20.0,-15.4349,-70.8407,0,RGI60-16.00101
RGI60-16.00102,5087.0,5101.0,5076.0,0.018,9.9,-15.427,-70.8516,0,RGI60-16.00102
RGI60-16.00103,5170.0,5188.0,5130.0,0.048,15.6,-15.4261,-70.8483,0,RGI60-16.00103
RGI60-16.00104,5025.0,5050.0,4984.0,0.014,22.2,-15.4217,-70.6531,0,RGI60-16.00104
RGI60-16.00105,5009.0,5045.0,4981.0,0.024,16.9,-15.42,-70.655,0,RGI60-16.00105
RGI60-16.00106,5108.0,5131.0,5072.0,0.012,25.4,-15.4274,-70.6586,0,RGI60-16.00106
RGI60-16.00107,5034.0,5125.0,4934.0,0.172,19.8,-15.4264,-70.6531,0,RGI60-16.00107
RGI60-16.00108,5080.0,5110.0,5034.0,0.039,21.2,-15.4125,-70.6548,0,RGI60-16.00108
RGI60-16.00109,5029.0,5071.0,5002.0,0.033,18.9,-15.4123,-70.6835,0,RGI60-16.00109
RGI60-16.00110,5035.0,5071.0,4972.0,0.048,19.8,-15.4048,-70.6525,0,RGI60-16.00110
RGI60-16.00111,5003.0,5082.0,4941.0,0.129,20.8,-15.4005,-70.6467,0,RGI60-16.00111
RGI60-16.00112,5115.0,5241.0,4984.0,0.44,22.6,-15.36,-70.7687,0,RGI60-16.00112
RGI60-16.00113,5135.0,5186.0,5050.0,0.248,14.8,-15.3574,-70.936,0,RGI60-16.00113
RGI60-16.00114,5040.0,5104.0,4942.0,0.237,20.8,-15.3478,-70.6358,0,RGI60-16.00114
RGI60-16.00115,4989.0,5021.0,4948.0,0.041,24.4,-15.3441,-70.6215,0,RGI60-16.00115
RGI60-16.00116,5058.0,5087.0,5046.0,0.014,13.1,-15.3512,-70.7745,0,RGI60-16.00116
RGI60-16.00117,5155.0,5223.0,5060.0,0.257,15.6,-15.3484,-70.7719,0,RGI60-16.00117
RGI60-16.00118,5097.0,5120.0,5057.0,0.015,18.7,-15.3452,-70.7583,0,RGI60-16.00118
RGI60-16.00119,4971.0,5007.0,4934.0,0.03,23.8,-15.3398,-70.616,0,RGI60-16.00119
RGI60-16.00120,5034.0,5057.0,5008.0,0.024,13.4,-15.3406,-70.6371,0,RGI60-16.00120
RGI60-16.00121,5035.0,5073.0,4983.0,0.063,15.6,-15.3384,-70.6336,0,RGI60-16.00121
RGI60-16.00122,5071.0,5125.0,5037.0,0.067,19.3,-15.3401,-70.9494,0,RGI60-16.00122
RGI60-16.00123,5136.0,5188.0,5087.0,0.553,10.7,-15.3312,-70.9416,0,RGI60-16.00123
RGI60-16.00124,5136.0,5162.0,5095.0,0.113,11.0,-15.3323,-70.7641,0,RGI60-16.00124
RGI60-16.00125,5127.0,5222.0,5062.0,0.404,14.5,-15.3253,-70.7605,0,RGI60-16.00125
RGI60-16.00126,5125.0,5140.0,5103.0,0.011,15.2,-15.3324,-70.7668,0,RGI60-16.00126
RGI60-16.00127,5168.0,5193.0,5131.0,0.021,16.4,-15.3211,-70.7609,0,RGI60-16.00127
RGI60-16.00128,5147.0,5186.0,5076.0,0.212,13.6,-15.3398,-70.7709,0,RGI60-16.00128
RGI60-16.00129,5129.0,5170.0,5056.0,0.414,12.9,-15.3389,-70.7633,0,RGI60-16.00129
RGI60-16.00130,5142.0,5162.0,5106.0,0.021,13.4,-15.3361,-70.7728,0,RGI60-16.00130
RGI60-16.00131,5101.0,5115.0,5080.0,0.016,8.9,-15.3224,-70.9618,0,RGI60-16.00131
RGI60-16.00132,5124.0,5147.0,5087.0,0.084,9.2,-15.3199,-70.9597,0,RGI60-16.00132
RGI60-16.00133,5074.0,5148.0,5041.0,0.049,23.8,-15.315,-70.7776,0,RGI60-16.00133
RGI60-16.00134,5100.0,5141.0,5063.0,0.043,23.7,-15.3145,-70.7894,0,RGI60-16.00134
RGI60-16.00135,5099.0,5126.0,5045.0,0.029,21.4,-15.3138,-70.7858,0,RGI60-16.00135
RGI60-16.00136,5044.0,5068.0,5018.0,0.037,18.3,-15.3134,-70.7818,0,RGI60-16.00136
RGI60-16.00137,5092.0,5145.0,5052.0,0.099,17.8,-15.3111,-70.7741,0,RGI60-16.00137
RGI60-16.00138,5145.0,5203.0,5030.0,0.084,22.8,-15.3088,-70.966,0,RGI60-16.00138
RGI60-16.00139,5121.0,5163.0,5076.0,0.117,19.6,-15.3024,-70.951,0,RGI60-16.00139
RGI60-16.00140,5029.0,5110.0,4942.0,0.058,30.3,-15.3128,-70.747,0,RGI60-16.00140
RGI60-16.00141,5165.0,5343.0,4944.0,2.558,18.8,-15.3079,-70.7501,0,RGI60-16.00141
RGI60-16.00142,5278.0,5377.0,5214.0,0.047,24.4,-15.3747,-70.6756,0,RGI60-16.00142
RGI60-16.00143,5226.0,5293.0,5192.0,0.031,21.0,-15.3719,-70.6781,0,RGI60-16.00143
RGI60-16.00144,5193.0,5328.0,5007.0,0.65,20.1,-15.3662,-70.6748,0,RGI60-16.00144
RGI60-16.00145,5173.0,5255.0,5083.0,0.487,14.0,-15.3032,-70.7482,0,RGI60-16.00145
RGI60-16.00146,5174.0,5225.0,5100.0,0.363,9.9,-15.298,-70.7502,0,RGI60-16.00146
RGI60-16.00147,5128.0,5175.0,5090.0,0.03,31.1,-15.2857,-70.7485,0,RGI60-16.00147
RGI60-16.00148,5112.0,5146.0,5085.0,0.016,26.0,-15.284,-70.7464,0,RGI60-16.00148
RGI60-16.00149,5140.0,5198.0,5059.0,0.039,27.6,-15.2819,-70.745,0,RGI60-16.00149
RGI60-16.00150,5195.0,5362.0,4969.0,0.533,27.0,-15.3976,-70.6789,0,RGI60-16.00150
RGI60-16.00151,5117.0,5226.0,4971.0,0.542,16.4,-15.3801,-70.6436,0,RGI60-16.00151
RGI60-16.00152,5173.0,5440.0,4986.0,1.458,25.7,-15.3723,-70.6871,0,RGI60-16.00152
RGI60-16.00153,5150.0,5167.0,5101.0,0.05,10.1,-15.3098,-70.7654,0,RGI60-16.00153
RGI60-16.00154,5100.0,5103.0,5095.0,0.012,4.9,-15.3066,-70.7644,0,RGI60-16.00154
RGI60-16.00155,5130.0,5212.0,5038.0,0.124,17.6,-15.3375,-70.6887,0,RGI60-16.00155
RGI60-16.00156,5164.0,5270.0,4972.0,0.934,13.0,-15.339,-70.7109,0,RGI60-16.00156
RGI60-16.00157,5107.0,5212.0,5048.0,0.359,13.2,-15.3712,-70.6482,0,RGI60-16.00157
RGI60-16.00158,5019.0,5094.0,4951.0,0.346,18.9,-15.3698,-70.6376,0,RGI60-16.00158
RGI60-16.00159,5144.0,5279.0,5026.0,0.939,14.5,-15.3305,-70.6951,0,RGI60-16.00159
RGI60-16.00160,5067.0,5078.0,5051.0,0.019,8.4,-15.3202,-70.6854,0,RGI60-16.00160
RGI60-16.00161,5157.0,5279.0,5060.0,1.196,10.6,-15.3305,-70.7046,0,RGI60-16.00161
RGI60-16.00162,5230.0,5339.0,5102.0,0.274,19.9,-15.3153,-70.7296,0,RGI60-16.00162
RGI60-16.00163,5155.0,5283.0,4988.0,2.305,15.5,-15.3445,-70.6962,0,RGI60-16.00163
RGI60-16.00164,5043.0,5086.0,4986.0,0.122,22.2,-15.3376,-70.6727,0,RGI60-16.00164
RGI60-16.00165,5220.0,5286.0,5164.0,0.313,12.6,-15.3652,-70.6803,0,RGI60-16.00165
RGI60-16.00166,5241.0,5367.0,5065.0,1.075,15.0,-15.3628,-70.6951,0,RGI60-16.00166
RGI60-16.00167,5143.0,5259.0,4980.0,1.263,17.3,-15.3633,-70.6488,0,RGI60-16.00167
RGI60-16.00168,5065.0,5224.0,4933.0,1.738,17.5,-15.3899,-70.6414,0,RGI60-16.00168
RGI60-16.00169,5110.0,5429.0,4911.0,1.136,25.6,-15.377,-70.667,0,RGI60-16.00169
RGI60-16.00170,5106.0,5284.0,4956.0,0.873,22.8,-15.4005,-70.687,0,RGI60-16.00170
RGI60-16.00171,5236.0,5361.0,5003.0,0.63,24.4,-15.3898,-70.6823,0,RGI60-16.00171
RGI60-16.00172,5087.0,5142.0,5042.0,0.144,14.9,-15.3741,-70.7244,0,RGI60-16.00172
RGI60-16.00173,5176.0,5370.0,4952.0,2.115,19.3,-15.3759,-70.7102,0,RGI60-16.00173
RGI60-16.00174,5024.0,5081.0,4992.0,0.011,34.3,-15.357,-70.7301,0,RGI60-16.00174
RGI60-16.00175,5077.0,5171.0,4991.0,0.079,28.4,-15.3554,-70.7273,0,RGI60-16.00175
RGI60-16.00176,5185.0,5380.0,4987.0,2.546,16.2,-15.3529,-70.7199,0,RGI60-16.00176
RGI60-16.00177,5129.0,5271.0,4969.0,2.007,15.3,-15.3256,-70.7217,0,RGI60-16.00177
RGI60-16.00178,5180.0,5268.0,5045.0,1.146,9.2,-15.2992,-70.7547,0,RGI60-16.00178
